POU1HjdXziM,Gurdeep Parhar
0OkOQhXhsIE,Kate Simonds
gK2AkxzFeDM,Tunde Okewale
FEAM4xdCDLE,Jonathon Stalls
zsLz0mRmEG0,Nonny de la PeÃ±a
bhgonb4EqXI,Lotte de Beer
mpqrO2agOTs,Nick Seaver
dS8n24ZwZcQ,Joe Lassiter
PgCmT0qkfQM,David Miliband
Xw4K07eVuQE,Cloudia Vardon
C9mareySEAM,Sahar Nahib
d6wGSsAdP0U,Amy Webb
rugSZIFY7mc,Charley Johnson
YyuScSjkGSs,Michael Martin
4RSgUhgg70Q,Drew Ramsey
IThAD5yKrgE,Edith Widder
OkKhI6St40w,His Holiness the Karmapa
kSZEsPnhIXg,Marisela Gomez
FN0fjOsJIxk,Kawsar Ali
o3oDpCb7VqI,Maryn McKenna
qYfEYvo96Hg,Tal Golesworthy
Qhomjw2PSV0,Alexander Wagner
LgntY0dOfSc,Adam Marcus
rzbtSeVZeEE,Norman Spack
C9CKRd2jScg,Anna Vogel
cQgSjnOfHPQ,Charlotte McClain-Nhlapo
IXBalykzauE,Nick Dougherty
uuwgtX2zU9Q,Martha Swindler
UxtJtlgDkC8,Rumi Chunara
c0H1zU2ytxA,Frank Warren
7TXEZ4tP06c,Graham Shaw
dIz7n7KWlZY,Ashima Shiraishi
NTbBuvcGnxM,Alessia Cara
PyXZvuxDkC4,Damon McLeese
QPiaadMporw,James Stavridis
30e60EOO5mo,Jarvis Clark
fBQnQTkhsq4,Nina DÃ¸lvik Brochmann & Ellen StÃ¸kken Dahl
5TKRSIKtaCg,Valerie Mason-John
bJ7rCIq9Lc0,Peter Saul
a7whovUoYu4,Seth Berkley
X55qpYxwoO4,Michael Langworthy
XPkV1bDZDl4,Peggy Neu
7nAU7KXXHEI,Deborah Halperin
ORzTct2yITk,Catherine Wang
Z1R1z9ipFnM,Danielle Feinberg
CXvUdCdKTJY,Gayle Tzemach Lemmon
oZ2eT76Sb4I,Dan Aufseesser
eJZSzNuKX7c,Daniel Cho
85bqT904VWA,Jake Weidmann
JBLc4Ekl3BA,Lynn Gangone
MExS7F0lGzI,Halla M. Yagoub
LS3wMC2BpxU,Henry Markram
0Sdja9Ys4Sg,Cynthia Schumann
KxLcORzSSIE,Kazunori Asada
Kp13yOhLEbU,Mathieu Nebra
BvpmZktlBFs,Sangu Delle
UzuUljhS9uI,Dr. Lisa Damour
bczm0RsIZUM,Joe DiStefano
3HaBoNSlpHU,Mari Okazaki
2L4BSVpvx1A,Leyla Acaroglu
IYDqtxvKDW4,Franz Freudenthal
UeKZYCq3s0E,Bilaal Rajan
oVw7HSe9Igo,Julia Huffman
Qs9m8obl0AY,Melissa Walker
yldVmMfMyIg,Simon Anholt
BzDEFAGvShc,Ali Abu Awwad
yRUCU5FsvTY,Ana Serrano
ZaSFy6RX3aE,Michael Poon
m048uAa8L3k,Bruce Aylward
Pzd7ReqiQnE,Daniel Tammet
sSXv06gUX3Y,Nitzan Solan
yuewc0SEn8M,Trista Sutter
QuIS7J59SYw,Fabian Hemmert
A0V9Rk9tNL0,Hong Kong Swings
k2hQL9Zrokk,Janine di Giovanni
qaue72D9pSI,Elijah Miles
ilMwoEdqMTs,Mary Alice Arthur
wSF82AwSDiU,Gary Wilson
tqf607N19Is,Natasha Devon
luoKOkTxOtU,Rob Legato
5ErKrSyUpEo,Valarie Kaur
rSQNi5sAwuc,Greg Gage
t2FrJOGKWxY,Adam Beauchamp
RWiI7AkDXSo,Jason deCaires Taylor
9RMx31GnNXY,Anthony Atala
M6TMSQWI9m4,Gabby Giffords & Mark Kelly
xEtXItg9hEE,Jamie Drummond
eJnlgDUcxOQ,Harbinder Birdi
B8Z2G7d2kzs,Eduardo Paes
LpROaNue9GM,Shea Hembrey
imaWSTabxOE,Jack Petrash
DW5YctpK7pM,Pani Farvid
ZoDYTYSeuN8,Pat Hymel
emeEpzkf044,Purin Phanichphant
Lh9lDWPMWrM,Richard Weller
kU7veyGGps4,Michelle Borkin
kSxhDZaLyVQ,Anna Rohrbough
z0HsPBKfhoI,Grady Booch
zvwQXwJyaj0,Charity Tillemann-Dick
wEM9c7RoVms,Satyabrata Dam
JS8fYhwrYzI,Ari Wallach
CTEhgUmSrro,Ramona Pierson
mYQx5n5SRVQ,Josephine Yoong
k8OgHJ4WXR0,Sara Seager
bUaU9kdt9I8,Abigail Dickson
gEukNF40JTc,Stephanie Jones
inxIM1aGvZY,Krister Palo
9o5jAaZn2p0,Scott Jones
Y761ETyLeA8,Bart Oostindie
GwRzjFQaSOg,Sarah Knight
ue2ZEmTJSXo,Alex Wissner-Gross
aIFFFGf1ZRE,T. Boone Pickens
3f6xCzKx9CA,Sebastian Wernicke
VSWkUKP1l3c,Marco Tempest
5vXRgT6egSU,Sarah Elizabeth Ippel
dJEwC4wCM70,Rishi Manchanda
lSMnR9SlQx8,Kaja Choma
KCL8NjN7FMQ,Jonathan Rossiter
p2MEGk5q1WI,Andrew Lih
olPn5xr0L08,Suriya Aisha
lwz8KvS9NRA,Danielle Da Silva
hbG89FYKzaY,Leana Delle
8GOFoquSdkI,Nathaniel Koloc & Evan Walden
zkQL7UJYDIY,Arunachalam Muruganantham
hvHViFc0ekw,Gever Tulley
zmxDxDDlaqU,Alessio Rastani
HoyNrlMNBvw,Shafique Virani
fDzj9vRw5yM,Brittany Barron
lYdk1NK9Sr0,William Ury
5LrThfSBeq0,Robb Willer
TeGr86rq06c,Peter Weinstock
qSTStSwyBWc,Liz Cambron
LTSx9s67yWA,Gary Flake
NNHAgXy5dxQ,Guy Standing
bnvnBwP9sTo,Katrina Spade
3XDdhbrg2kw,Rory Bremner
2cYDyMnL4M8,Nandan Nilekani
9vKRj9yV8pI,Alisa Vitti
sFNmulAb4wM,Adam Garone
z9CabT4Kcz8,Drew Spooner
VSbjOJzB7LY,Adora Svitak
2VWSSFSUeQI,Tiffany Jenkins
c0Z7KeNCi7g,James Randi
QbSD6PTcmfs,Kitra Cahana
BxFvxKaSmWo,John Lloyd
OwRAFCrsDS8,Juan Serrano
8fE29CHJMCg,Jake Wood
OrAo8oBBFIo,Gary Wolf
Ftnb2fpJ664,Doron Almog
xkq8drS5ofs,Andrew Hess
NS4bBu9Jyho,Rafael Parente
tic7X3ET4gE,Jody Stanislaw
BqSxYSOZrgU,Kristen Pressner
0GL5r3HVAZ0,Gary Birch
JQ0iMulicgg,Aimee Mullins
8Z24LCysq3A,Vicki Arroyo
rEgSZNB3qyI,Adam Savage
gVfgkFaswn4,Al Gore
ZBg5QvcZQP8,Natalia Khosla
IFF9iSgOO7w,Lance Wyman
grtGI7QpPdw,Emily Levine
nFSdHdNOgSA,Emmanuel Jal
TuD3IerTOms,Taylor Romero
80USSKwX0iU,Lea Waters
o4DD3dgfvS0,Bill T. Jones
KDBcoRLkut8,Paul Bloom
A9qqR8NVbtM,Jackie Juno
UUqr4P7P3gM,Phyllis Sommer
STuCsRugKN0,Clint Walker
ApGeDdIaxo8,Mac Stone
qYUmI5kGsYk,Karoliina Korppoo
erCApSBd0AQ,Keren Elazari
64fDIZiVSSM,Raghava KK
MLKj1puoWCg,Daniel Amen
0D9QIG36J9Q,Hari Nef
MDqyOLCFJ3c,Laura Gonzo
u9FSvAVQvGM,Stefan Kertesz
S2HS8IfxzT4,Angelo Vermeulen
UVqoIgh7bcw,Riley Senft
9qd36SQPxSY,Nagin Cox
cnDEVgxD6QQ,Michelle Bazargan
jNSOh4xILSc,Charles-Edouard  Vincent
IkJTwfHPv6A,Jeremy Make
TBnNbyi4AN4,John Andrews
bXRCVHVstEY,Laura Vanhanen
hxPiz2sE0h4,Tuesday Meadows
SYHG5y4tvLw,Lara Zeineddine
PTUcj45juXg,Debra Jenson
jMBdQW2LLxw,Derek Paravicini & Adam Ockelford
SYpHNImNsx8,Gail Dines
eOU3Tv0vN24,Martha Ehlin
llhT0BtSst0,Kimbal Musk
eMVWSUeeg8A,Stefan Sagmeister
ac0E6deG4AU,Jeff Han
LifvSfll2dw,Sebastian Wernicke
phUUjkSbtiY,Elaine Meyer
up4hFjSjcTY,Diana Laufenberg
lkzoQuzlW4M,Daeyeol Lee
wcWD7fERQCc,Destin Sandlin
3SdJP2JCSDY,Regan Garcia
Melo1Bgporw,Tammy Tibbetts
TPA0qoemShQ,Jamie Cooke
OhYvDS7qSV8,Lisa Harouni
CsjV1gjBMbQ,Evan Grant
udNJCRSABvw,Dimitri Vassilakis
kQa11RMCeSI,Jack Horner
DqsvwHG9cSM,Liesbeth van Rossum
jMVAgCPYYHY,Allan Adams
B0YSGU3JqiQ,Dr. Gregory Berns
Chr3rQ6Vpcw,Max Cynader
t8RSGKSSM2Y,Matilda Ho
RvpXNXXP5Vc,Oded Aharonson
wxCtIdI3xL0,Nathalie Cabrol
xqPJKtFI42U,Alison Bacon
qIVTKBeiabI,Maxim Februari
UVZyVz8gBeQ,Bertolt Meyer
TFvkq4BAvnw,Dr. Tom Ran
tZYkjaKNrSo,Annette Heuser
zA6SpcEz8Ls,Danny Hillis
ZBDablzQ9ts,Tara Swart
GigYWy2UmOY,Keith Barry
IaWeJ8V3pg4,Greg Horowitt
kFMZrEABdw4,Ken Robinson
VL5zqmpiJlQ,Kemi Sorinmade
emn28FrJ6CI,Sean Gourley
3YAF5JdsMm8,Giulia Valente
gDMOcSWCTW0,Rev. Takafumi Kawakami
hiIcwt88o94,Emma Marris
SJmnB54WRgk,Alisee de Tonnac
FxtSMZKMdes,Roxane Gay
nVEvzeIXbpk,Leonardo Letelier
3qRtDnsnSwk,Hans Rosling on HIV
aR6jLD1USW0,Roger McNamee
ZHOyfyGwpes,Amory Lovins
0tVGSTxcsSU,Starlady
QOjVk3cQFB8,Julia Ehrhardt
gbDraZi7FS4,Damon Davis
U4Lx5rcii38,Brian Coppom
ir0B0pnfzY0,Sadie Zinn
TWPahtyJDsI,Rilee Louangphakdy
btF6nKHo2i0,John Perkins
tsFKSfItBoE,Nuvi Mehta & Pepe Romero
imhUmLtlZpw,Martin Jacques
1gAQ82IHyZ8,David Mackay
2SlbsnaSNNM,Phil Fernbach
8tEuaj4h8dw,Aaron Huey
M1yCvKASWdU,Patti Doyle Bedwell
yy5SHMeBLDc,Rabea Ziuod
jqWHy6B0ADA,Maryam Ghadiri
IgKWPdJWuBQ,Elon Musk
eRQdAOrqvGg,Devorah HeitnerPh.D.
VPxEde3Q1F0,Zaher Baraky
5nys6iebjHw,Lloyd Pendleton
1E6ysoASrY4,Brian Williams
HFFBkbsSFY0,Nathan Kundtz
j3YjeARuilI,Enrique PeÃ±alosa
vRK7KKQH9Ck,Rachel McKendry
x4lASM3zbdU,Yoav Medan
mWm2qtEeBjE,Dennis Kneale
7W8OJgeYy1w,Maurits Jan Groen
owl8keTUioo,Jim Ethington
jvBaRf9LHDs,Daniel Ally
5RLqVpo3j20,Hojae Lee
dTwXeZ4GkzI,Aimee Mullins
8LQhhYgjlJ0,Abu Yilla
k1luKASSXcg,Esther Gokhale
K5wCfYujRdE,Tim Harford
nccPghNJjBQ,Yiem Sunbhanich
SmLeSPk3ddE,Katherine Fulton
CH4TZteceas,Daniel Kraft
sHdYaMyR5S8,Severine Autesserre
vbKKoniUxMk,Hiroyuki Sato
21jSOCNLuYg,Jon Jandai
qy4uuAfRFnI,Benjamin Voyer
q9Ou0cj3fF8,Dr. Scott Fraser
4ef6KJ7vfIw,Dr. Sanjit Mitra
ERSZb2wHFDw,Alvin Irby
o8xWaNpSlbI,Tama Matsuoka Wong
wn8S33NBB04,Linda M. Collins
DlGUSNXOdpQ,Lynda Bourque Moss
95ovIJ3dsNk,Nadine Burke Harris
QC3EbSexmDw,Amy van Rooyen
WDbxqM4Oy1Y,Kalina Silverman
uBgRo9tnvSI,Enno Schmidt
y62pJTJkfbg,Tharique Azeez
G88JZ1DIdg8,Devita Davison
haA6QtH0PIc,Demos Helsinki
j8T3bdqTdp4,Tom Potisit
d0yGdNEWdn0,Chris Lonsdale
Y8wol2nGSpY,Nat Kendall-Taylor
U6PoUg7jXsA,Joshua Foer
VmP574ikRFs,Lorna Ortiz
BJsrYqPtXFM,Adam Wade
o5ojwGhKr20,Lin Yang
SS6ZojCzNGY,Dan Satterberg
IWjzT2l5C34,Hubertus Knabe
Soe7yjlFEJ8,Dr. Zhana Vrangalova
S6ufvYWTqQ0,Chimamanda Ngozi Adichie
dsT5eVSm7BA,Cam Adair
n34IjfcF1Yg,Mallory Nezam
RjgBko1p5wY,Milenko Matanovic
ifgSifSQq0Y,Julian Herzog
VfKWd7iXMSo,Suzannah Lipscomb
SwiaaqKdtjw,Ben Bronsema
m45SshJqOP4,Cheong Koon Hean
J10EaonNV2A,Laura Baudis
iFfcwfiLfn0,Camille Seaman
V1gxziZwmkc,Cheryl Hunter
nG3vB2CuSjM,Damon Horowitz
rTJpJlVkRTA,Martine Rothblatt
FRKg49ySnNw,Mcayla Sarno
gPEECGFJFb8,John Mistele
qErZ2AQDMB4,Pam Warhurst
QUL0eSQtV8c,Silvija Nora Kalnins & Ingus Ulmanis
Qlg6izBqKxM,Spud Marshall
rzu845HV8n8,Frank Manders
ovV7v2XYJAI,Paul Root Wolpe
M0yhHKWUa0g,Joachim de Posada
4n8qT0vQbWk,Debra Jarvis
0MMSpsvqiG8,John Wooden
hRSw8DBbFr8,DeBorah McFadden-Weathersby
QHSrG9Tuz84,Gerald T. Nepom
r2SX7mTUirk,Wallace J. Nichols
tRqVPRwKn2o,Beth Reekles
mymMye4purU,Caspar Addyman
8iSpNVj5KMw,Anand Giridharadas
MLZubXfClL4,Lillianna Romaker
r4KQfepEqWQ,Cathy Rasmussen
QJORi5VO1F8,Emilie Wapnick
UpkAqPEcMyE,Oscar Schwartz
u0VHC1SDOS8,Jeremy Jackson
vw5HJhIlJp4,Gayle Tzemach Lemmon
bcSXtB5bQgs,Paulius Briedis
UwtYQFSJSQc,Jae Ho Chung
YJM6WUNDnhA,Lisa Lee
PSggxpMY9q0,Yayoi Oguma
xX1Job6O60E,Shelley Baer
FKQavJZHRJU,IN-Q
RuVdkNdeVAc,Mikela Eskenazi
w3q89BTJj3o,Annie Lawless
AOEQ9GteWbg,Danny Hillis
8OnsjVdEuRk,Liz Diller
YD5PFdghryc,Kitra Cahana
kWnsmzSSgdI,Bea Johnson
F4RMDoGCCK0,Peter Hinssen
sK4rgGgqzmY,Stacy Scibelli
SXOZflB1BKo,Irene Rompa
57FMau29OSg,Judge Helen Whitener
H2rG4Dg6xyI,Barbara Sher
bGBamfWasNQ,Simon Lancaster
UQzvNIIMayo,Amishi Jha
kj9HYBDSknQ,Audrey Odom
0VJqrlH9cdI,Peter Diamandis
jyZAgG8SSXg,Cinnamon Catlin-Legutko
2dRlssVF7fc,Ewan Morrison
0wpCZxiAQzw,Roxanne Reeves
yA9xQB547Yo,Kristi Blakeway
RE4ce4mexrU,Deb Roy
HBUoaf8vwJ4,Max ter Horst
jyYjI7zQlaA,Majora Carter
wQ0NNmo42SA,Nigel Ackland
p7YRnLbmLGs,Robbie Patla
5nrn5fC001Q,Heather Newman
2dbNRGiqaaM,Michelle Poler
COwSbfCgXBw,Ashlynn Damers
oPBC15XYl3Q,Leo Bormans
Mt0PiXLvYlU,Nnedi Okorafor
bbFF5n7S930,ErnÅ‘ Duda
0lYq5jXBfzE,Nancy Judd
y1GqNN2Xe7g,Eric Giler
xTkKSJSqUSI,David Logan
zORUUqJd81M,Jim Holt
LlJJRGPfqwA,Yettza Sanchez
uHnqvhWQMV0,Stephan A Schwartz
akOe5SUsQ2o,KimberlÃ© Crenshaw
SE97Kgi0sR4,Marc Goodman
pZni9Kx9Jfw,Kartick Satyanarayan
Fc1yN6uxZfQ,Jim Yong Kim
F5yvoSu2OV0,Fardousa Jama
0FOlwct8k9M,Nigel Nisbet
wNokfBHccVI,Teresa Taylor
Mr8nvXvlSy8,Hilary Cottam
b0SVSkoZvaE,John Delaney
LWULB9Aoopc,Russell Foster
U2dHczVSCdo,Nalie Agustin
rToBZSrxjgM,Mary Norris
u7SWcQaoaRQ,Diane Kelly
LguEk06WbSU,Saul Griffith
3mTbO2kC6mA,Paul MacAlindin
g2m97gPI70I,Elise Roy
dQijrruP9c4,Joan Halifax
BnC6IABJXOI,Joshua Katz
nASJ0510Pxs,Rodney Brooks
pNTylSnUOVo,Irene Scopelliti
t1ZSoufuQg4,Daniel Goldstein
ufJ7sOtuFd0,Barbara Block
risdUQ3dvrk,Professor Seong-Seng Tan
65e2qScVSK8,Jaak Panksepp
mAvSoNUgMno,The strangeness of scale
iXHil1TPxvA,Chris Milk
FolCetXtYG0,Peter Walker
aFBIPOSP7LM,Jeff Kluger
fCKNScHMBGE,Sakena Yacoobi
HfMhU6qjVVM,Joshua Smith
LHd0vXDglb8,Naima Mora
SGG97dDfZ7E,Trevor Aaronson
9yPlMBPNf2M,Hanna PaulomÃ¤ki
eZj5n8ScTkI,Yoruba Richen
DGulIdIS3XE,Franny Choi
u2V0vOFexY4,Jim Fallon
uk7gKixqVNU,Steven Pinker & Rebecca Newberger Goldstein
64SbHvDcgQQ,Felix Dennis
vUQLN4o63SY,Kees Moeliker
cgxZ4H3gJ8c,David Baron
j12BBcKSgEQ,Teman Cooke
LSGfqyhleUA,Yoram Mosenzon
jTfGAHroSSI,Nivatha Balendra
wsIrdxDJpSQ,Michael Zhu Chen
BGRy5VUSLfI,Mark Kendall: Demo
n8eyF4UWG38,Shukla Bose
nubSKdtzLcE,James Erskine
IeblJdB2SVo,Shauna Shapiro
lyRSK2CZIHQ,Zak Ebrahim
6yR5OUVb2gY,Ari Beser
CLWRclarri0,Carolyn Steel
3sZDmOducck,Jules Ku-Lea
PzyAP4zLb6w,Marisa Fick-Jordan
sNbGUSI9HWw,Rana Daggubati
SSzRfSJTNW4,Lee Hotz
jsjItmQfgUk,Valerie Joi
ROXUPr8Wqds,Gary Greenberg
o0q3veMwv6A,Dragana Rogulja
ZFpbkCSHimY,Laurent Adamowicz
5uVtphj4b6c,Hailey Weinberg
Mo2Ai7ESNL8,Zeynep Tufekci
YrZThoSoSis,Phil Hansen
JiwZQNYlGQI,Jessica McCabe
xp0O2vi8DX4,Tali Sharot
1Dd2yCf3PyA,Robyn White
QcnuWDZuYy0,Rolf Hut
lqbLSUhhyPk,Dave Chawner
fIqABIcKIvs,Lauren Zalaznick
3oXGJmZpzys,Jack Wood
SABC5U4MvTI,CM Hall
UMn2q35HBeQ,Alexa Meade
0qYTf9evWeY,Richard Gerver
e8JK3qVGuUg,Glenn Starkman
gIbIewxHQrk,Saki Mafundikwa
Sb2qXygFm8U,Lindsey Lusher Shute
pxr2GRJ6tjc,Nicholas Negroponte
EU15c9hnftE,Susan Lim
nW5VhQyc4Fg,Tony Noble
D089tSF9yUU,Shimon Schocken
u1K6hnm09xs,May El-Khalil
WQ82Uukl6rg,David Laude
8cwWSS29faQ,Dan Cobley
PSlBlZ3hqKc,Benjamin Barber
uW9tg1vJwZQ,Nikos Michalakis
cF2dhWWUyQ4,Carrie Beckwith-Fellows
6k8YBJ5sgko,Kaustav Dey
I1cGiNnJZgU,Margaret Bourdeaux
wz0mlDELSo0,Anne Kjaer Riechert
hPsUXhXgWmI,Michael Sandel
SMShPk4rmMM,Kent Larson
XII0TdSvloM,Cindy Sebek
ciStnd9Y2ak,Michael Shellenberger
W9YBCwgrwQA,Liz Holland
MLU7qcMYKO8,Joel Levine
b4sMMWJYUOs,Rachel Parent
tsgvhP07BC8,Bill Gates
6kHSuYwt0qs,Shai Reshef
SSJu0Jy9oSQ,Lucie Wilk
LFxQEUDIAuk,George Eleftheriades
Y0UB6g8Rsyw,Bhu Srinivasan
h9SKyrHRhDo,Garth Lenz
gqpErbFnbiY,Robert Lanza
VMwjscSCcf0,Valerie Hoeks
pg63A6WaCSc,Kyosuke Yamamoto
lfykytI3A6k,Pancho Ramos-Stierle
lnigGtrwAfs,Laurie Betito
OM6XIICmSqo,Tim Berners-Lee
HbUeAdVXOVc,Erica Frenkel
Mjl1i13JKNM,Nancy Lowery
fvoWoMIwrSg,Chika Okoro
Nt88TSEAgDE,Emily Whiting
xSLkNjQyHww,Erica Hargreave
nLeeTVmVrtA,Joseph Kim
u943Jv9JuZc,Phoenix Sinistra
pew48bbrob0,Fredrika Gullfot
oGu0Ouxb3b8,Montana White
IU4A4h1ACJs,Jessica Winter
nHU9aLPyxf0,Philippe Van Parijs
XRP4xfN89Ss,Brij Kothari
ppr6UyfBMlA,Dan Meades
TMoYQhyxViw,Benjamin Scheuer
WfTZ5iIUn4s,Dong Woo Jang
YFC5CwZVCEw,Sarah Parcak
V3CLRL32Mcw,Jennifer L. Scott
tp4Z4EVFA0g,Matt Dalio & Jimmy CalÃ­
3aYWvujaT6M,Mandy Len Catron
rxeLnx5UEEk,Kevin Lannon
KNXOVpN8Wgg,Roger Ebert
8agz9FcDcPk,Carter Emmart
9RMaD0Sk7hc,Alix Lambert
NRO0SJXuFMY,Dr. Lloyd Sederer
Aoa20kFNYmY,Peter Su
f6nQJoEk7Ko,Ed Dean
OkTERUQUvpA,Roberta Shapiro
NlzanAw0RP4,Semir Zeki
1cQbMP3I5Sk,Alex Kipman
JNcLKbJs3xk,Juan Enriquez
bjNSaXg4S6Y,Alisa Kazarina
G17iMOw0ar8,Stephen Lewis
5PhNVxr7Vtw,Zach Wissner-Gross
hSSmmlridUM,Zeynep Tufekci
ut5STVLAFDc,Michele Mitchell
iPE2SiCCo0w,Tim Ferriss
muEW4v6lBxc,Elan Carson
NU82HhqhEHM,Takeshi Niinami
xQZxGCPjpqM,Dustin Schroeder
EEjyPqyFeSs,Jon Mooallem
oGlsUYGMYks,Ismael Nazario
P6w7Eq7YhL8,Priya Parker
aFDKHFsVRnY,Rosa Vissers
WaGq9XwSVys,Natalie Dell O'Brien
n1ARQsdNvmI,Niels Taatgen
lqSBVyou38s,Joe Kowan
Sv5QitqbxJw,Robert Muggah
7udZ5ux0dYE,Michael Okun & Kelly Foote
Wn1imxwGscs,Justin Skeesuck & Patrick Gray
XWFvhGek3m0,Rama Kulkarni
NAcuH7nSdLc,Lynne Elvins
RoS2q3pSrq4,Eva Brems
CyKmpyYy14k,Angela Horn
hha0NsYXS5c,Marc Kushner
Hc6yiSFtoNo,William Ury
c9V6OKlY80k,Latif Nasser
4geb9DS0lhs,Nia Lyte
wgPLGS1BvQo,Dr. Deborah E. Lipstadt
mAEqvn7B2Qg,Lee Cronin
7sxpKhIbr0E,Scott Geller
JC7WnzM2Lsc,Ron Milo
FgSJcKSHUtQ,Markus Fischer
crjU5hu2fag,William Kamkwamba
FIrgjCNcDBI,Lian Pin Koh
SRKgDP1YPUo,Benny Torres
cSsxBTNF2U8,Yang Lan
X48GTmOe5SA,Ayat Morad Khidir
4AYE3w5TWHs,Bjarke Ingels
RgtoZ2ue05w,George Takei
RvnS3cCrl9c,Andris Ambainis
ktD119xbBtY,Rainn Wilson & Ron Finley & Erin McKean & Jane McGonigal & Beau Lotto & Isabel Behncke & Arthur Benjamin & Reggie Watts
IDqMB6C1uys,Warren Peters
zjl8po4ApZ4,Bastian KrÃ¶sche
fmZSIr2Z29s,Denise Cunningham
Fb3yp4uJhq0,Jennifer Brea
potB0voQzNg,AntÃ³nio Guterres
87vO1XhHuHI,Rachel Thomas & Steven Lamb
i2t8pN5ecMo,Daniel Hardman
nzUds0TIQMY,Martha Merrow
wyhF7q3Sbpk,Meghan Sobel
DZQe73IXZtU,David Helfand
SAm3gtFB8xU,Roz Savage
ty5QtslaAHM,Dan Connors
OmMv9tShW8k,Naomi A. Rose
AdHSwXl2nuQ,Laura Schwengber
fSRWTyY2YSM,Tania Simoncelli
GS1xL1qcBa4,Kevin Kelly
F2hc2FLOdhI,Guy Winch
M3mnUMmUAHQ,Shannon Thrace
uJr4wGcLNsA,Judith Heumann
sS9ys09BkGE,Milton Mermikides
ZMGZQZRIsJE,Ji-Hae Park
ktOeFgmdIAo,Miriam Zoila PÃ©rez
o2BJsFkzSYU,Tanika Dillard
IWdzrZdRa38,Philip Howard
sz77x05rySc,Ian Ritchie
mSQmfZOVNPw,Tammy Mach
oxpJGynSHJU,Patrick Brady
PktUzdnBqWI,Denis Dutton
YlmZkY1uqXM,Sarah Jones
jZxLsDkvkVQ,Shekhar Kapur
lwcvhh4pLjE,Tiq Milan & Kim Katrin Milan
RGCVyI7x1kA,Hannah Song
i0QKBKWnkxg,Lynne Parker
4Lb5LSVEm34,Max Strom
SCCG81UbruY,Anthony Painter
6Af6bSwyiwI,Bill Gates
pzN4WGPC4kc,Jamie Bartlett
yVQ8fZB30JU,Kirsi Hyttinen
ruvWiXowiZ8,Joshua Walters
uSMqkSqSgN4,John Kleiner
rTMqGbTNkNg,Thomas Pogge
w7T7KSNJ8m0,Tom Uglow
bB5zR2xYhm4,Lucine Z. Kinoian
B9bDZ5SzPtY,William Li
P2SxoBj3daM,David C Rettew
hPVLbEapUD0,Ronald Taylor
JqokS3P1D9o,Kobi Shvarzbord
FvAl7Sjddok,Nora York
zISxg4JhSRk,Jens Grossklags
gEH4gSeSt3g,Seehum Isa
zQfB85apRy8,Marije Nie
kiUnJ1d8vvw,Jay Silver
w96osGZaS74,Rob Greenfield
7sqeoYOQ4qg,Seema Bansal
KJPpJhQxaLw,Triona McGrath
7gkdzkVbuVA,Laura Carstensen
h0C2LPXaEW4,Elizabeth Smart
OqUaEJLfrLo,Theo E.J. Wilson
qykDS2AXKIU,Claire Pomeroy
9UbnOKC1ioU,Jami Grindatto
BzeTjn0R2VY,Sally Kohn
mj0CWrSB7E8,Scott Summit
JcCQS4YiTb8,A-lan Holt
K8Dj0oSf1SA,Maria Sundin
0YeVt2kpSSo,Ian Harvie
IfzrN2yMBaQ,Howard Gardner
kLIfeGflNp8,Alexander Betts
cWpRxyqDgpM,Chris Domas
ByEoeBYUwOo,Carrie Nugent
JrqgyAoS6oI,Khadija Massaoudi
7gXq1ml6B1E,Andras Forgacs
9VF7kffCgJU,Zaria Forman
FfwFUjVEIl4,Jenny Schell
UK8ccWSZkic,Stewart Brand & Mark Z. Jacobson
UZmXwOgNq7c,Louise Fresco
chXsLtHqfdM,Ernesto Sirolli
rni41c9iq54,Guy Winch
GCOc31fQi7A,Bilal Bomani
k4N2SxUZwiU,AndrÃ©s Ruzo
8vSGrrQs8ow,Rebecca MacKinnon
x5mionzBMlA,Minh Thuy Ta
MS4x6G0zzeg,Amy Adele Hasinoff
mLufqwmPl1A,Kamau Gachigi
pNttjJUtkA4,Spring Behrouz
cKGFSkQh1h4,Millicent Tidwell
vwTDeT4v7RM,Wolfgang Kessling
U7fFCaHZvVk,Michael Gidney
KZIGekgoaz4,Amit SoodMD
F8R7S4AoGhs,Justin Howard
Xe2nlti47kA,Linda Cliatt-Wayman
PNqu5BWeHDw,Alireza Rohani
7LcSdlVrg5M,Tshering Tobgay
GZyjTPEufLk,Dr. Ricardo Fernandes
y9Trdafp83U,Emily Esfahani Smith
BdHKSr9RXTc,Reggie Watts
H9ZOpQzjukY,Meron Gribetz
H14bBuluwB8,Angela Lee Duckworth
0af00UcTOSc,Steven Johnson
OyahH2o9AAk,Carl Seidman
FpHPVrsEkYY,Siyanda Mohutsiwa
KP5mzWDH4b8,Hyeonseo Lee
QKHkSUiQboA,Dave Isay
l2S0V1DeDa4,Carolyn Porco
ZoWZ1Ycr37o,Uri Alon
BQnOTJH3w4s,Bisi Alimi
5SOHiN8Ne58,Erin McNichol
LdjNw8SZc5U,Harry Baker
CWU13rx44j8,Mark Pitzer
gSUvy6pvLA4,Luke Syson
AK9OBSx77S8,Wendy Hassler-Forest
pbGLBjDhnSY,Matthew D. Lamb
xnLoToJVQH4,Gen Kelsang Nyema
VjQ3ufqnfSM,Niko Alm
Eo9bb3U9wPs,David Delgado
HzySGhX8SCc,Matt Coatney
